sport,event_id,event_name,bookmaker,team,price
icehockey_nhl,e5e12b53bda84093e0f0c7463245657e,Colorado Avalanche vs Montréal Canadiens,BetMGM,Montréal Canadiens,4.1
icehockey_nhl,e5e12b53bda84093e0f0c7463245657e,Colorado Avalanche vs Montréal Canadiens,Caesars,Colorado Avalanche,1.23
icehockey_nhl,e5e12b53bda84093e0f0c7463245657e,Colorado Avalanche vs Montréal Canadiens,Caesars,Montréal Canadiens,4.28
icehockey_nhl,e5e12b53bda84093e0f0c7463245657e,Colorado Avalanche vs Montréal Canadiens,SI Sportsbook,Colorado Avalanche,1.22
icehockey_nhl,e5e12b53bda84093e0f0c7463245657e,Colorado Avalanche vs Montréal Canadiens,SI Sportsbook,Montréal Canadiens,4.2
icehockey_nhl,e5e12b53bda84093e0f0c7463245657e,Colorado Avalanche vs Montréal Canadiens,WynnBET,Colorado Avalanche,1.26
icehockey_nhl,e5e12b53bda84093e0f0c7463245657e,Colorado Avalanche vs Montréal Canadiens,WynnBET,Montréal Canadiens,4.4
icehockey_nhl,0e69213b86179a316d5ff07156473587,Seattle Kraken vs Anaheim Ducks,betPARX,Anaheim Ducks,2.65
icehockey_nhl,0e69213b86179a316d5ff07156473587,Seattle Kraken vs Anaheim Ducks,betPARX,Seattle Kraken,1.49
icehockey_nhl,0e69213b86179a316d5ff07156473587,Seattle Kraken vs Anaheim Ducks,BetRivers,Anaheim Ducks,2.65
icehockey_nhl,0e69213b86179a316d5ff07156473587,Seattle Kraken vs Anaheim Ducks,BetRivers,Seattle Kraken,1.49
icehockey_nhl,0e69213b86179a316d5ff07156473587,Seattle Kraken vs Anaheim Ducks,DraftKings,Anaheim Ducks,2.64
icehockey_nhl,0e69213b86179a316d5ff07156473587,Seattle Kraken vs Anaheim Ducks,DraftKings,Seattle Kraken,1.51
icehockey_nhl,0e69213b86179a316d5ff07156473587,Seattle Kraken vs Anaheim Ducks,FanDuel,Anaheim Ducks,2.62
icehockey_nhl,0e69213b86179a316d5ff07156473587,Seattle Kraken vs Anaheim Ducks,FanDuel,Seattle Kraken,1.5
icehockey_nhl,0e69213b86179a316d5ff07156473587,Seattle Kraken vs Anaheim Ducks,ESPN BET,Anaheim Ducks,2.65
icehockey_nhl,0e69213b86179a316d5ff07156473587,Seattle Kraken vs Anaheim Ducks,ESPN BET,Seattle Kraken,1.51
icehockey_nhl,0e69213b86179a316d5ff07156473587,Seattle Kraken vs Anaheim Ducks,Caesars,Anaheim Ducks,2.7
icehockey_nhl,0e69213b86179a316d5ff07156473587,Seattle Kraken vs Anaheim Ducks,Caesars,Seattle Kraken,1.49
icehockey_nhl,0e69213b86179a316d5ff07156473587,Seattle Kraken vs Anaheim Ducks,BetMGM,Anaheim Ducks,2.65
icehockey_nhl,0e69213b86179a316d5ff07156473587,Seattle Kraken vs Anaheim Ducks,BetMGM,Seattle Kraken,1.5
icehockey_nhl,0e69213b86179a316d5ff07156473587,Seattle Kraken vs Anaheim Ducks,WynnBET,Anaheim Ducks,2.77
icehockey_nhl,0e69213b86179a316d5ff07156473587,Seattle Kraken vs Anaheim Ducks,WynnBET,Seattle Kraken,1.51
icehockey_nhl,0e69213b86179a316d5ff07156473587,Seattle Kraken vs Anaheim Ducks,SI Sportsbook,Anaheim Ducks,2.65
icehockey_nhl,0e69213b86179a316d5ff07156473587,Seattle Kraken vs Anaheim Ducks,SI Sportsbook,Seattle Kraken,1.47
icehockey_nhl,1673b895b79a5c7611871fed3953659d,Arizona Coyotes vs Columbus Blue Jackets,betPARX,Arizona Coyotes,1.62
icehockey_nhl,1673b895b79a5c7611871fed3953659d,Arizona Coyotes vs Columbus Blue Jackets,betPARX,Columbus Blue Jackets,2.33
icehockey_nhl,1673b895b79a5c7611871fed3953659d,Arizona Coyotes vs Columbus Blue Jackets,BetRivers,Arizona Coyotes,1.62
icehockey_nhl,1673b895b79a5c7611871fed3953659d,Arizona Coyotes vs Columbus Blue Jackets,BetRivers,Columbus Blue Jackets,2.33
icehockey_nhl,1673b895b79a5c7611871fed3953659d,Arizona Coyotes vs Columbus Blue Jackets,DraftKings,Arizona Coyotes,1.62
icehockey_nhl,1673b895b79a5c7611871fed3953659d,Arizona Coyotes vs Columbus Blue Jackets,DraftKings,Columbus Blue Jackets,2.36
icehockey_nhl,1673b895b79a5c7611871fed3953659d,Arizona Coyotes vs Columbus Blue Jackets,FanDuel,Arizona Coyotes,1.64
icehockey_nhl,1673b895b79a5c7611871fed3953659d,Arizona Coyotes vs Columbus Blue Jackets,FanDuel,Columbus Blue Jackets,2.3
icehockey_nhl,1673b895b79a5c7611871fed3953659d,Arizona Coyotes vs Columbus Blue Jackets,ESPN BET,Arizona Coyotes,1.65
icehockey_nhl,1673b895b79a5c7611871fed3953659d,Arizona Coyotes vs Columbus Blue Jackets,ESPN BET,Columbus Blue Jackets,2.35
icehockey_nhl,1673b895b79a5c7611871fed3953659d,Arizona Coyotes vs Columbus Blue Jackets,Caesars,Arizona Coyotes,1.62
